txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020241808,622202******3247,王*阳,2814**********2169,155****3487,2024-08-08 11:52:28,635.31,CNY,M965845,饿了么,5812,消费,APP,中国,四川省,武汉,329c79d43e15f0bb,38e080751c27af95,CONTACTLESS,3.0,,26,,否,,629761,中国银行,银联,TERM766524,0,unknown
T000020242957,622202******4931,吕*博,5111**********3375,181****4513,2024-09-11 16:56:33,290.04,CNY,M284692,屈臣氏,5812,转账,ECOM,中国,河南省,深圳,f558f2eef9667d58,0c883a578ccb7bab,CHIP,12.0,,18,,否,,944170,建设银行,收单行A,TERM629864,0,unknown
T000020240653,622202******0541,王*辉,2986**********1440,188****3328,2024-10-04 20:58:01,578.88,CNY,M739979,微信支付,5812,预授权,QR,中国,四川省,深圳,d3811db8ca64abfb,afc74ef1461a376a,CONTACTLESS,,,11,,否,,849979,浦发银行,银联,TERM177558,0,unknown
T000020240867,622202******6538,华*勇,5203**********1845,195****5246,2024-07-10 13:37:54,1051.9,CNY,M370902,星巴克,5814,消费,QR,中国,浙江省,北京,cf329828f339a610,ddbe4a6b9a19f15b,MAG,,,5,,否,,628751,建设银行,银联,TERM983981,0,unknown
T000020241080,622202******9868,陶*飞,1552**********4757,133****4867,2024-10-22 18:22:30,17.67,CNY,M370902,拼多多,4511,消费,ECOM,中国,福建省,杭州,b9e7365637c3dd1a,873cc77396439d96,MANUAL,6.0,,21,,否,,285628,中信银行,收单行C,TERM806942,0,unknown
T000020243473,622202******7776,陶*阳,2359**********4400,179****7078,2024-10-18 17:09:02,190.12,CNY,M721254,微信支付,5814,预授权,ECOM,中国,福建省,成都,cfedeae345843c9a,9c9aa2ca0f32f32b,CHIP,,,11,,否,,670185,交通银行,收单行A,TERM652839,0,unknown
T000020241357,622202******8333,韩*超,3466**********9802,185****0877,2024-07-03 00:05:49,47.99,CNY,M357420,优衣库,5691,消费,QR,中国,广东省,杭州,ef090ea92241cf51,04acfa52e848148b,MAG,12.0,1.62,5,R004,否,,109083,农业银行,收单行C,TERM639090,0,unknown
T000020240645,622202******6918,金*国,3097**********7179,197****2621,2024-10-21 19:17:47,90.48,CNY,M641722,拼多多,5541,消费,APP,中国,山东省,北京,3bc74393b51fdacb,812e9418f583f080,CONTACTLESS,,,29,,否,,322096,中国银行,收单行A,TERM883159,0,unknown
T000020243549,622202******3353,蒋*龙,3542**********5023,155****8510,2024-10-04 21:15:29,222.74,CNY,M572700,滴滴出行,5311,消费,APP,中国,四川省,杭州,f064761fbd509ced,9c00586b868ee31f,CONTACTLESS,,10.29,0,,否,,222814,中信银行,收单行B,TERM299760,0,unknown
T000020243029,622202******9419,孙*凯,4579**********7747,181****2246,2024-09-12 16:43:38,2138.52,CNY,M556732,中国石化,5541,消费,ECOM,中国,山东省,青岛,d700aaac0a46a1a9,da0e9fe28d9a4141,MANUAL,,45.34,28,,否,,185589,交通银行,收单行B,TERM884150,0,unknown
