txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,6222029786748825,许杰健,274417197702899544,18234360915,2024-09-10 15:25:24,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,DEV00000029,57.200.94.211,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020240812,6222027146318035,周军阳,516968200111437131,18657156434,2024-08-11 04:36:15,668.12,CNY,M353080,中国石油,5999,消费,ECOM,中国,河南省,杭州,DEV00000270,178.247.253.122,CONTACTLESS,,,21,,否,,929029,工商银行,收单行B,TERM330189,0,unknown
T000020241967,6222021422701550,吕玲阳,375728197708203074,15526189687,2024-08-28 01:31:02,149.7,CNY,M110644,支付宝,5812,消费,MOBILE,中国,广东省,北京,DEV00000053,232.13.17.204,MAG,,,23,,否,,615558,浦发银行,收单行A,TERM411926,0,unknown
T000020242252,6222028531118333,孙芳鹏,298151197609241598,13261809117,2024-07-31 12:35:06,214.01,CNY,M992288,中国石化,4111,消费,POS,中国,浙江省,武汉,DEV00000342,168.234.91.103,MAG,,,3,,否,,636858,建设银行,收单行A,TERM680499,0,unknown
T000020241432,6222023880327491,许玲晨,378365200503643110,18285669527,2024-08-30 12:05:18,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,DEV00000108,108.5.231.35,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,6222027292076361,秦秀华,548118198511615912,15465144040,2024-10-12 09:29:46,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,DEV00000204,149.118.2.223,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020240793,6222025774080233,冯丽辉,570438198601145019,18466489637,2024-09-22 18:25:08,238.51,CNY,M855053,携程旅行,5812,消费,ECOM,中国,浙江省,南京,DEV00000137,96.212.184.162,MAG,,,26,,否,,542207,中国银行,收单行B,TERM940715,0,unknown
T000020243114,6222022503068227,张春凯,173647198101356468,17641592521,2024-10-14 18:37:16,92.21,CNY,M452737,肯德基,4511,转账,APP,中国,山东省,上海,DEV00000332,175.53.79.48,CONTACTLESS,,,18,,否,,327994,工商银行,收单行A,TERM477522,0,unknown
T000020241017,6222022926780541,华艳泽,281869198303005731,17682311168,2024-06-06 03:37:16,57.21,CNY,M841666,拼多多,5812,消费,MOBILE,中国,湖北省,上海,DEV00000080,224.62.1.245,MAG,,,28,,否,,895290,招商银行,收单行B,TERM218877,0,unknown
T000020243247,6222029677466102,赵军浩,271700199506504628,13263149188,2024-07-24 01:01:22,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,DEV00000140,59.61.116.209,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
T000020243417,6222023553440342,周强兵,272574197102525239,15526539576,2024-10-18 10:16:35,3670.51,CNY,M947458,支付宝,5691,消费,MOBILE,中国,四川省,成都,DEV00000353,196.214.133.18,MANUAL,6.0,49.77,13,,否,,971729,工商银行,银联,TERM665128,0,unknown
T000020242084,6222029697354961,韩艳平,139911197111107186,15867185393,2024-08-31 04:31:42,620.17,CNY,M965845,肯德基,5814,消费,QR,中国,北京市,北京,DEV00000086,53.254.113.214,MANUAL,,,15,,否,,374433,中国银行,收单行B,TERM780513,0,unknown
T000020242694,6222023361388464,郑静林,623704196207151334,17863809501,2024-06-14 08:10:25,323.91,CNY,M587282,屈臣氏,5691,消费,APP,中国,江苏省,深圳,DEV00000118,122.153.25.96,MAG,,,2,,否,,863585,工商银行,收单行B,TERM148751,0,unknown
T000020243222,6222026204041308,施华峰,631237196407046561,17536999216,2024-08-16 18:37:23,300.99,CNY,M841666,拼多多,5411,取现,POS,中国,福建省,上海,DEV00000211,156.26.152.227,CHIP,,,28,,否,,434618,中国银行,收单行C,TERM981242,0,unknown
T000020242414,6222023799264931,卫建飞,587430199805143030,19679744043,2024-09-28 10:23:48,166.17,CNY,M389688,拼多多,5814,消费,MOBILE,中国,浙江省,南京,DEV00000127,49.217.226.132,CHIP,,,14,,否,,447658,交通银行,收单行C,TERM936422,0,unknown
T000020243588,6222029807209816,沈燕林,224677196611855788,17745346516,2024-08-26 20:24:04,1476.25,CNY,M284692,携程旅行,5541,消费,APP,中国,北京市,成都,DEV00000117,110.166.163.235,CHIP,,,28,,否,,488297,中国银行,收单行C,TERM223371,0,unknown
T000020241107,6222022566942273,沈华平,641085199906832055,13682785263,2024-07-26 11:04:14,619.66,CNY,M284692,沃尔玛,5812,预授权,MOBILE,中国,北京市,成都,DEV00000114,254.172.89.246,ECOM,,,28,R002,否,,355465,交通银行,收单行C,TERM253624,2,rule
T000020241134,6222021519709079,严刚博,605575199703713058,13362458848,2024-07-15 04:11:32,229.96,CNY,M782054,微信支付,4111,消费,QR,中国,北京市,郑州,DEV00000291,111.155.195.238,CHIP,,,9,,否,,694095,工商银行,收单行A,TERM248305,0,unknown
T000020242626,6222021116402431,秦平亮,280817197010162639,19960218471,2024-06-24 14:38:19,386.55,CNY,M886931,中国石油,4111,消费,ECOM,中国,江苏省,南京,DEV00000252,14.28.212.238,ECOM,,,22,,否,,941604,工商银行,收单行B,TERM950127,0,unknown
T000020242432,6222029597198563,曹丽俊,231423196502157921,19984337438,2024-08-20 16:51:31,199.43,HKD,M383201,华润万家,5311,消费,QR,中国,湖北省,南京,DEV00000307,58.94.143.229,ECOM,,,10,,否,,337605,招商银行,收单行C,TERM310609,0,unknown
T000020242963,6222028478529823,朱文阳,410100199301279316,17813558238,2024-09-13 21:24:58,34.16,CNY,M556732,饿了么,5211,消费,APP,中国,浙江省,杭州,DEV00000085,78.246.150.163,MAG,,,27,,否,,273243,农业银行,收单行C,TERM725106,0,unknown
T000020241656,6222029303285822,施强阳,284612196808932778,19803850698,2024-06-23 08:57:35,195.38,CNY,M440802,支付宝,4511,消费,QR,中国,山东省,武汉,DEV00000342,209.12.67.145,CONTACTLESS,,7.61,26,,否,,298927,招商银行,收单行C,TERM580267,0,unknown
T000020243275,6222028982597239,陶秀凯,502635198808978616,19869942130,2024-07-07 14:04:33,46.04,CNY,M353080,滴滴出行,4111,消费,MOBILE,中国,北京市,郑州,DEV00000018,91.73.18.157,MANUAL,,,27,,否,,768758,浦发银行,收单行B,TERM289601,0,unknown
T000020240933,6222025419627962,陶洋超,508325196002336609,15432117242,2024-08-28 23:26:30,132.81,CNY,M835244,饿了么,4111,消费,QR,中国,河南省,成都,DEV00000312,200.61.100.92,MANUAL,,,16,,否,,112793,中国银行,收单行B,TERM481220,0,unknown
T000020242549,6222029639245200,姜娜超,309423199908606963,13349760748,2024-08-27 04:48:48,70.88,CNY,M393243,滴滴出行,4511,消费,ECOM,中国,山东省,杭州,DEV00000276,110.219.99.86,ECOM,,0.03,0,,否,,934723,中信银行,收单行C,TERM497225,0,unknown
T000020241760,6222024026113008,冯秀华,410727198311603123,13611979451,2024-06-03 07:49:28,225.86,CNY,M556732,美团外卖,5311,消费,APP,中国,山东省,武汉,DEV00000094,213.138.229.250,CONTACTLESS,,,25,,否,,383132,中信银行,收单行B,TERM254592,0,unknown
T000020242788,6222028086172302,金勇辉,471354197001742635,19691237967,2024-08-14 20:25:14,57.64,CNY,M355709,星巴克,5812,消费,APP,中国,北京市,深圳,DEV00000044,14.228.221.250,MAG,24.0,1.49,27,,否,,543222,浦发银行,收单行C,TERM355565,0,unknown
T000020241377,6222027333678472,卫燕博,439059200303017518,15217941910,2024-06-10 13:57:09,165.16,CNY,M971084,中国石化,4511,消费,POS,中国,福建省,北京,DEV00000122,171.217.227.103,MAG,,3.54,22,,否,,351818,交通银行,收单行C,TERM837391,0,unknown
T000020242068,6222023328710672,陶华峰,365052199401806229,13370737451,2024-09-02 02:10:49,991.83,CNY,M556641,屈臣氏,5311,消费,QR,中国,北京市,深圳,DEV00000333,153.5.59.239,MANUAL,,,19,,否,,262470,工商银行,银联,TERM458655,0,unknown
T000020242398,6222027380780055,郑军平,635127199211291191,18969884758,2024-08-08 04:33:06,630.42,CNY,M587282,饿了么,5411,预授权,MOBILE,中国,福建省,北京,DEV00000245,85.120.9.247,ECOM,12.0,,23,,否,,584371,农业银行,收单行B,TERM497653,0,unknown
T000020241472,6222026009268066,曹军平,424984200502428934,13112181793,2024-07-23 03:25:33,212.71,CNY,M606983,去哪儿,5211,消费,APP,中国,四川省,成都,DEV00000289,24.58.245.75,CHIP,,,20,,否,,217455,中国银行,收单行B,TERM919694,0,unknown
T000020242604,6222024642197907,王英辉,549157196401732491,13668972654,2024-10-19 16:43:55,2875.72,CNY,M800646,美团外卖,5999,消费,MOBILE,中国,北京市,北京,DEV00000100,88.70.229.250,ECOM,,,3,,否,,442707,浦发银行,收单行A,TERM633524,0,unknown
T000020241279,6222023980491761,华军海,337027196202525113,19197861794,2024-06-12 20:30:39,331.44,CNY,M936587,京东商城,4111,消费,APP,中国,浙江省,杭州,DEV00000297,168.42.12.13,CONTACTLESS,,,2,,否,,140530,农业银行,银联,TERM994661,0,unknown
T000020241286,6222024882343658,张军勇,152923199810529588,15131364696,2024-07-04 00:16:43,710.13,CNY,M682789,屈臣氏,5411,消费,ECOM,中国,山东省,深圳,DEV00000038,7.153.52.160,CONTACTLESS,12.0,,21,,否,,445430,中国银行,收单行C,TERM180951,0,unknown
T000020243002,6222025646751885,张军阳,496755199604594602,17403979281,2024-06-20 02:57:00,101.32,USD,M835244,滴滴出行,5541,消费,ECOM,中国,河南省,广州,DEV00000088,24.38.38.158,CONTACTLESS,,4.3,68,,是,可疑待确认,618911,农业银行,收单行B,TERM696210,2,manual
T000020242448,6222025310195918,郑春兵,322276196601826678,19615940294,2024-07-18 09:32:30,308.57,CNY,M866536,海澜之家,5311,消费,APP,中国,四川省,深圳,DEV00000308,187.131.194.17,ECOM,12.0,,5,R002,否,,502833,交通银行,银联,TERM165575,2,rule
T000020243529,6222022960488639,施涛晨,199216197407266744,15141835038,2024-06-29 13:33:20,422.69,USD,M641722,中国石化,5541,消费,MOBILE,中国,河南省,青岛,DEV00000123,223.161.223.108,CONTACTLESS,6.0,,20,,否,,254143,浦发银行,收单行B,TERM997669,0,unknown
T000020242915,6222027292076361,杨丽俊,262320197408692151,15234963155,2024-10-06 02:55:18,143.24,CNY,M992288,屈臣氏,5411,转账,MOBILE,中国,四川省,广州,DEV00000011,12.53.171.156,CONTACTLESS,12.0,,2,,否,,824711,中信银行,收单行C,TERM751053,0,unknown
T000020243284,6222022139027119,褚鹏飞,289414199307652426,18773375441,2024-07-29 23:25:16,128.51,CNY,M612311,中国石化,5311,消费,POS,中国,河南省,杭州,DEV00000169,102.169.129.105,ECOM,,,8,,否,,507265,交通银行,收单行C,TERM960008,0,unknown
T000020241072,6222024226113732,吴华健,133467198605683129,15402149641,2024-10-05 10:07:08,25.59,CNY,M383201,美团外卖,5999,消费,ECOM,中国,四川省,郑州,DEV00000164,67.81.3.57,CONTACTLESS,,0.02,30,,否,,480828,浦发银行,银联,TERM691845,0,unknown
T000020241914,6222028106906538,韩艳峰,657658198811426983,19185562744,2024-08-11 04:06:42,167.63,CNY,M682144,沃尔玛,5411,消费,ECOM,中国,广东省,郑州,DEV00000175,63.16.137.88,ECOM,,,23,,否,,162071,农业银行,收单行C,TERM947901,0,unknown
T000020241606,6222026923301988,赵强亮,628471196402206125,15998383025,2024-07-19 15:48:19,212.66,CNY,M855053,屈臣氏,5691,预授权,QR,中国,四川省,上海,DEV00000082,26.65.63.199,CONTACTLESS,,,2,,否,,764704,招商银行,收单行C,TERM866519,0,unknown
T000020240915,6222021422701550,曹娜峰,375329197702181498,18752347835,2024-08-04 18:18:22,2223.84,CNY,M841666,优衣库,5814,消费,MOBILE,中国,福建省,杭州,DEV00000243,192.53.19.95,CHIP,,,15,,否,,839916,农业银行,收单行B,TERM186847,0,unknown
T000020242104,6222029592390865,尤静勇,478925196707328531,17553623365,2024-09-24 00:02:32,475.02,CNY,M800646,麦当劳,5411,转账,APP,中国,福建省,青岛,DEV00000107,140.144.167.250,MAG,,,9,,否,,640472,农业银行,收单行B,TERM626100,0,unknown
T000020242357,6222021654477195,周霞鹏,197438200208541296,18652112715,2024-07-22 20:16:04,54.3,CNY,M130094,屈臣氏,5999,消费,QR,中国,四川省,上海,DEV00000046,28.46.41.98,MANUAL,24.0,,1,,否,,309407,招商银行,收单行A,TERM686674,0,unknown
T000020241836,6222021594312071,张建飞,320357197403086244,19120865913,2024-09-16 15:06:18,157.85,CNY,M437960,京东商城,5211,消费,MOBILE,中国,上海市,广州,DEV00000153,27.200.72.175,MANUAL,,5.63,7,,否,,551437,中国银行,收单行A,TERM381007,0,unknown
T000020242720,6222023376077463,周兰俊,444472199303451388,13183038564,2024-09-01 17:14:48,6930.6,CNY,M497399,微信支付,4111,预授权,QR,中国,四川省,郑州,DEV00000236,93.32.91.67,CONTACTLESS,,,92,"R002,R003",否,,697771,招商银行,收单行A,TERM838186,1,chargeback
