txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,622202******8825,许*健,2744**********9544,182****0915,2024-09-10 15:25:24,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,cc9ff761316ea025,e271e22297be83e1,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020240812,622202******8035,周*阳,5169**********7131,186****6434,2024-08-11 04:36:15,668.12,CNY,M353080,中国石油,5999,消费,ECOM,中国,河南省,杭州,88eaa23f88044214,8055007cad94ce34,CONTACTLESS,,,21,,否,,929029,工商银行,收单行B,TERM330189,0,unknown
T000020241967,622202******1550,吕*阳,3757**********3074,155****9687,2024-08-28 01:31:02,149.7,CNY,M110644,支付宝,5812,消费,MOBILE,中国,广东省,北京,356bdd2e25c85245,60e86ccd8db78b96,MAG,,,23,,否,,615558,浦发银行,收单行A,TERM411926,0,unknown
T000020242252,622202******8333,孙*鹏,2981**********1598,132****9117,2024-07-31 12:35:06,214.01,CNY,M992288,中国石化,4111,消费,POS,中国,浙江省,武汉,2c2894895a1b2e42,e592229567dc9863,MAG,,,3,,否,,636858,建设银行,收单行A,TERM680499,0,unknown
T000020241432,622202******7491,许*晨,3783**********3110,182****9527,2024-08-30 12:05:18,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,3d7789ce1d25ea99,9c5c4e1e670ab40d,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,622202******6361,秦*华,5481**********5912,154****4040,2024-10-12 09:29:46,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,ec0a6b19aec39dd1,0fb17630504d9eed,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020240793,622202******0233,冯*辉,5704**********5019,184****9637,2024-09-22 18:25:08,238.51,CNY,M855053,携程旅行,5812,消费,ECOM,中国,浙江省,南京,471078334e55a945,ce05933a63be26a0,MAG,,,26,,否,,542207,中国银行,收单行B,TERM940715,0,unknown
T000020243114,622202******8227,张*凯,1736**********6468,176****2521,2024-10-14 18:37:16,92.21,CNY,M452737,肯德基,4511,转账,APP,中国,山东省,上海,40e3a49f328d63be,09985a5b2a0c4020,CONTACTLESS,,,18,,否,,327994,工商银行,收单行A,TERM477522,0,unknown
T000020241017,622202******0541,华*泽,2818**********5731,176****1168,2024-06-06 03:37:16,57.21,CNY,M841666,拼多多,5812,消费,MOBILE,中国,湖北省,上海,0f0cdf5cb658eb74,c97d2c04d1c54c49,MAG,,,28,,否,,895290,招商银行,收单行B,TERM218877,0,unknown
T000020243247,622202******6102,赵*浩,2717**********4628,132****9188,2024-07-24 01:01:22,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,7795d4b603c92c92,906d5353afebec36,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
