txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020241808,6222025871743247,王磊阳,281482196403072169,15522463487,2024-07-01 00:00:00,635.31,CNY,M965845,饿了么,5812,消费,APP,中国,四川省,武汉,DEV00000338,131.40.163.66,CONTACTLESS,3.0,,26,,否,,629761,中国银行,银联,TERM766524,0,unknown
T000020242957,6222023799264931,吕霞博,511155197604533375,18101484513,2024-07-01 02:00:00,290.04,CNY,M284692,屈臣氏,5812,转账,ECOM,中国,河南省,深圳,DEV00000230,207.189.236.180,CHIP,12.0,,18,,否,,944170,建设银行,收单行A,TERM629864,0,unknown
T000020240653,6222022926780541,王飞辉,298667200312271440,18860603328,2024-07-01 06:00:00,578.88,CNY,M739979,微信支付,5812,预授权,QR,中国,四川省,深圳,DEV00000210,173.255.71.163,CONTACTLESS,,,11,,否,,849979,浦发银行,银联,TERM177558,0,unknown
T000020240867,6222028106906538,华娟勇,520373197209061845,19560745246,2024-07-01 07:00:00,1051.9,CNY,M370902,星巴克,5814,消费,QR,中国,浙江省,北京,DEV00000207,232.162.81.112,MAG,,,5,,否,,628751,建设银行,银联,TERM983981,0,unknown
T000020241080,6222026805759868,陶秀飞,155230199708274757,13377724867,2024-07-01 08:00:00,17.67,CNY,M370902,拼多多,4511,消费,ECOM,中国,福建省,杭州,DEV00000217,29.181.218.12,MANUAL,6.0,,21,,否,,285628,中信银行,收单行C,TERM806942,0,unknown
T000020243473,6222024633987776,陶芳阳,235901196302544400,17947527078,2024-07-01 10:00:00,190.12,CNY,M721254,微信支付,5814,预授权,ECOM,中国,福建省,成都,DEV00000300,108.214.158.55,CHIP,,,11,,否,,670185,交通银行,收单行A,TERM652839,0,unknown
T000020241357,6222028531118333,韩春超,346621198202699802,18544120877,2024-07-01 13:00:00,47.99,CNY,M357420,优衣库,5691,消费,QR,中国,广东省,杭州,DEV00000155,25.104.46.249,MAG,12.0,1.62,5,R004,否,,109083,农业银行,收单行C,TERM639090,0,unknown
T000020240645,6222025067116918,金刚国,309734196306507179,19747382621,2024-07-01 14:00:00,90.48,CNY,M641722,拼多多,5541,消费,APP,中国,山东省,北京,DEV00000301,186.111.245.54,CONTACTLESS,,,29,,否,,322096,中国银行,收单行A,TERM883159,0,unknown
T000020243549,6222029957813353,蒋英龙,354249196701015023,15585568510,2024-07-01 15:00:00,222.74,CNY,M572700,滴滴出行,5311,消费,APP,中国,四川省,杭州,DEV00000046,151.39.111.216,CONTACTLESS,,10.29,0,,否,,222814,中信银行,收单行B,TERM299760,0,unknown
T000020243029,6222027648059419,孙文凯,457976196808337747,18119542246,2024-07-01 17:00:00,2138.52,CNY,M556732,中国石化,5541,消费,ECOM,中国,山东省,青岛,DEV00000151,50.160.124.93,MANUAL,,45.34,28,,否,,185589,交通银行,收单行B,TERM884150,0,unknown
T000020242392,6222023553440342,冯英浩,249207196409336594,17195034850,2024-07-01 18:00:00,34.07,CNY,M866536,麦当劳,5814,消费,ECOM,中国,四川省,广州,DEV00000349,225.5.0.2,ECOM,24.0,,25,,否,,646384,中信银行,银联,TERM412869,0,unknown
T000020242378,6222021798112150,尤建峰,636695200310655564,17948596848,2024-07-01 20:00:00,29.72,CNY,M440802,中国石化,5311,消费,QR,中国,浙江省,郑州,DEV00000367,175.7.98.170,CHIP,,,4,,否,,668840,浦发银行,银联,TERM478110,0,unknown
T000020243220,6222022812140441,郑英林,526868200506377772,17771365308,2024-07-01 22:00:00,759.56,CNY,M855053,支付宝,5211,消费,POS,中国,福建省,武汉,DEV00000297,172.240.21.154,MANUAL,3.0,,9,,否,,438016,招商银行,收单行C,TERM748891,0,unknown
T000020243175,6222022274350418,尤伟辉,538253197110916492,18266441970,2024-07-01 23:00:00,475.08,CNY,M664315,饿了么,5814,消费,ECOM,中国,广东省,青岛,DEV00000374,214.150.64.153,MAG,,,21,,否,,838427,交通银行,收单行B,TERM990579,0,unknown
T000020241271,6222028086172302,曹华龙,325803199303893109,15246705427,2024-07-02 00:00:00,99.24,CNY,M260422,天猫超市,5999,消费,QR,中国,湖北省,成都,DEV00000119,223.66.94.171,MAG,,,27,,否,,786833,工商银行,收单行A,TERM795473,0,unknown
T000020241679,6222024919706735,曹霞杰,620408197310815813,17743037687,2024-07-02 01:00:00,411.6,CNY,M800646,星巴克,5411,消费,POS,中国,江苏省,北京,DEV00000227,35.112.201.97,CHIP,3.0,,16,,否,,933542,中信银行,收单行C,TERM208566,0,unknown
T000020242008,6222025759234471,尤军民,398351196611221716,13678934895,2024-07-02 02:00:00,296.07,CNY,M739979,滴滴出行,5812,预授权,MOBILE,中国,上海市,北京,DEV00000123,127.252.141.54,CONTACTLESS,,,16,,否,,162158,交通银行,银联,TERM701854,0,unknown
T000020243492,6222024131575764,周燕亮,142801200106318579,13652113782,2024-07-02 04:00:00,128.69,CNY,M697530,京东商城,5541,消费,ECOM,中国,湖北省,南京,DEV00000363,177.52.17.28,CHIP,3.0,,20,,否,,585425,招商银行,银联,TERM136461,0,unknown
T000020241129,6222023316787198,卫强俊,518319200301588542,17846736837,2024-07-02 05:00:00,53.08,CNY,M992288,海澜之家,5211,消费,POS,中国,山东省,成都,DEV00000319,122.215.180.61,MAG,12.0,,25,,否,,832203,招商银行,收单行B,TERM220888,0,unknown
T000020242707,6222024034047118,吕丽东,450763199007259491,13475076260,2024-07-02 06:00:00,307.02,CNY,M572700,携程旅行,4111,预授权,QR,中国,湖北省,上海,DEV00000222,163.26.193.220,MAG,,8.05,4,,否,,652124,交通银行,收单行C,TERM384947,0,unknown
T000020241976,6222025310195918,钱春晨,142308199811952022,17120844530,2024-07-02 07:00:00,247.91,CNY,M260422,滴滴出行,5311,消费,APP,中国,山东省,深圳,DEV00000371,46.224.75.255,CONTACTLESS,3.0,,21,,否,,233194,农业银行,银联,TERM476850,0,unknown
T000020240694,6222026464693977,尤秀凯,516380198607411881,13898509546,2024-07-02 08:00:00,763.16,CNY,M587455,沃尔玛,5691,消费,MOBILE,中国,河南省,北京,DEV00000116,234.188.100.199,MAG,,26.05,25,,否,,296059,农业银行,收单行A,TERM495521,0,unknown
T000020242318,6222027418301077,郑文杰,545294198212182667,15553035565,2024-07-02 09:00:00,1203.63,CNY,M739979,携程旅行,5814,消费,ECOM,中国,上海市,深圳,DEV00000079,246.19.192.222,CHIP,,14.3,21,,否,,121931,交通银行,收单行A,TERM698595,0,unknown
T000020242562,6222025278201677,金兰华,564407196207028614,13673792220,2024-07-02 13:00:00,99.63,CNY,M556732,海澜之家,5411,消费,MOBILE,中国,湖北省,北京,DEV00000346,172.199.176.19,MAG,,3.83,3,,否,,271297,浦发银行,银联,TERM310194,0,unknown
T000020241695,6222022867302554,孔杰博,653385200209851623,15213452979,2024-07-02 15:00:00,372.53,CNY,M721254,拼多多,5812,消费,ECOM,中国,北京市,广州,DEV00000211,180.212.155.108,CHIP,6.0,,10,,否,,178733,农业银行,收单行C,TERM551060,0,unknown
T000020242787,6222022125089309,周敏浩,431208199606448378,17901328457,2024-07-02 17:00:00,246.46,CNY,M936587,微信支付,5311,消费,MOBILE,中国,上海市,郑州,DEV00000190,56.131.87.88,CONTACTLESS,,,11,,否,,897049,工商银行,收单行B,TERM840205,0,unknown
T000020241796,6222026583444930,魏建华,337482196701852020,19327770585,2024-07-02 19:00:00,309.91,EUR,M392477,京东商城,4511,消费,POS,中国,四川省,青岛,DEV00000280,235.177.132.66,ECOM,24.0,,19,,否,,146688,招商银行,收单行B,TERM301743,0,unknown
T000020242312,6222026493800024,华鹏鹏,428059197401477418,19393806367,2024-07-02 20:00:00,887.89,CNY,M110644,微信支付,5999,消费,QR,中国,广东省,上海,DEV00000239,229.181.177.243,MANUAL,,,25,,否,,458952,浦发银行,银联,TERM706197,0,unknown
T000020243406,6222028377088167,钱春健,362212198610455164,15302349971,2024-07-02 21:00:00,260.27,CNY,M936587,华润万家,5999,消费,APP,中国,四川省,广州,DEV00000373,98.140.76.37,MAG,,11.34,14,,否,,658904,建设银行,银联,TERM287800,0,unknown
T000020243239,6222023376077463,钱刚杰,138253197507812516,19987057964,2024-07-03 00:00:00,1208.67,CNY,M782054,海澜之家,5311,消费,POS,中国,四川省,郑州,DEV00000022,75.9.9.144,CHIP,,,86,"R002,R003",是,确认欺诈,272307,农业银行,收单行B,TERM252199,1,chargeback
T000020241251,6222024026113008,陶超华,260701197205139671,18673819051,2024-07-03 01:00:00,99.51,CNY,M971084,京东商城,5211,消费,QR,中国,上海市,成都,DEV00000120,215.162.240.223,CHIP,3.0,,19,,否,,357058,浦发银行,收单行B,TERM147796,0,unknown
T000020241166,6222028478529823,沈英国,469924200411889129,15507071250,2024-07-03 02:00:00,3256.07,CNY,M971084,饿了么,5691,消费,QR,中国,上海市,广州,DEV00000041,56.178.205.146,MAG,,100.72,54,,否,,838527,工商银行,收单行C,TERM671004,0,unknown
T000020243279,6222022139027119,孔磊超,590316198805231293,15316612011,2024-07-03 04:00:00,131.1,CNY,M721254,天猫超市,5541,预授权,ECOM,中国,浙江省,广州,DEV00000053,109.184.19.132,MANUAL,6.0,,26,,否,,180674,中信银行,收单行B,TERM963103,0,unknown
