txn_id,card_no,cardholder_name,id_card,phone,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,622202******8825,许*健,2744**********9544,182****0915,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,cc9ff761316ea025,e271e22297be83e1,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020241432,622202******7491,许*晨,3783**********3110,182****9527,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,3d7789ce1d25ea99,9c5c4e1e670ab40d,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,622202******6361,秦*华,5481**********5912,154****4040,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,ec0a6b19aec39dd1,0fb17630504d9eed,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020243247,622202******6102,赵*浩,2717**********4628,132****9188,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,7795d4b603c92c92,906d5353afebec36,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
T000020243417,622202******0342,周*兵,2725**********5239,155****9576,3670.51,CNY,M947458,支付宝,5691,消费,MOBILE,中国,四川省,成都,9b474293b7786f6a,32fba4816463a0b0,MANUAL,6.0,49.77,13,,否,,971729,工商银行,银联,TERM665128,0,unknown
T000020242084,622202******4961,韩*平,1399**********7186,158****5393,620.17,CNY,M965845,肯德基,5814,消费,QR,中国,北京市,北京,e0cc547de1893c14,279d601398e30287,MANUAL,,,15,,否,,374433,中国银行,收单行B,TERM780513,0,unknown
T000020242694,622202******8464,郑*林,6237**********1334,178****9501,323.91,CNY,M587282,屈臣氏,5691,消费,APP,中国,江苏省,深圳,a22e587bcbb1b9cb,dbc1b9c92d2103c8,MAG,,,2,,否,,863585,工商银行,收单行B,TERM148751,0,unknown
T000020243588,622202******9816,沈*林,2246**********5788,177****6516,1476.25,CNY,M284692,携程旅行,5541,消费,APP,中国,北京市,成都,223736f5ccdce0af,a209f65140c1202b,CHIP,,,28,,否,,488297,中国银行,收单行C,TERM223371,0,unknown
T000020242626,622202******2431,秦*亮,2808**********2639,199****8471,386.55,CNY,M886931,中国石油,4111,消费,ECOM,中国,江苏省,南京,c5a78fd243dde112,f17a71f80270af36,ECOM,,,22,,否,,941604,工商银行,收单行B,TERM950127,0,unknown
T000020242432,622202******8563,曹*俊,2314**********7921,199****7438,199.43,HKD,M383201,华润万家,5311,消费,QR,中国,湖北省,南京,da8e9c311a5ddc3e,d351255c4ae4cdf3,ECOM,,,10,,否,,337605,招商银行,收单行C,TERM310609,0,unknown
T000020243275,622202******7239,陶*凯,5026**********8616,198****2130,46.04,CNY,M353080,滴滴出行,4111,消费,MOBILE,中国,北京市,郑州,ae575501a7ee92fd,717a0320e0f227ac,MANUAL,,,27,,否,,768758,浦发银行,收单行B,TERM289601,0,unknown
T000020240933,622202******7962,陶*超,5083**********6609,154****7242,132.81,CNY,M835244,饿了么,4111,消费,QR,中国,河南省,成都,39bda7a9da9c46a9,586c3540e1afe8db,MANUAL,,,16,,否,,112793,中国银行,收单行B,TERM481220,0,unknown
T000020241760,622202******3008,冯*华,4107**********3123,136****9451,225.86,CNY,M556732,美团外卖,5311,消费,APP,中国,山东省,武汉,1f27aaa7aa962c80,b51a7970f84900ba,CONTACTLESS,,,25,,否,,383132,中信银行,收单行B,TERM254592,0,unknown
T000020242788,622202******2302,金*辉,4713**********2635,196****7967,57.64,CNY,M355709,星巴克,5812,消费,APP,中国,北京市,深圳,6e797405f1461b42,725dfbb5f54c18e7,MAG,24.0,1.49,27,,否,,543222,浦发银行,收单行C,TERM355565,0,unknown
T000020242068,622202******0672,陶*峰,3650**********6229,133****7451,991.83,CNY,M556641,屈臣氏,5311,消费,QR,中国,北京市,深圳,718d649096906ae6,90c76d94c4a87442,MANUAL,,,19,,否,,262470,工商银行,银联,TERM458655,0,unknown
T000020242398,622202******0055,郑*平,6351**********1191,189****4758,630.42,CNY,M587282,饿了么,5411,预授权,MOBILE,中国,福建省,北京,7058e32702534b3b,f396d4855a8c1d83,ECOM,12.0,,23,,否,,584371,农业银行,收单行B,TERM497653,0,unknown
T000020241472,622202******8066,曹*平,4249**********8934,131****1793,212.71,CNY,M606983,去哪儿,5211,消费,APP,中国,四川省,成都,35dce13b121b8acf,d22bd4c93c518ec5,CHIP,,,20,,否,,217455,中国银行,收单行B,TERM919694,0,unknown
T000020242604,622202******7907,王*辉,5491**********2491,136****2654,2875.72,CNY,M800646,美团外卖,5999,消费,MOBILE,中国,北京市,北京,4f56e1df31fe8f04,8586c8bd96eceded,ECOM,,,3,,否,,442707,浦发银行,收单行A,TERM633524,0,unknown
T000020241279,622202******1761,华*海,3370**********5113,191****1794,331.44,CNY,M936587,京东商城,4111,消费,APP,中国,浙江省,杭州,343a8c3c3c05fa84,cf29763ab35739af,CONTACTLESS,,,2,,否,,140530,农业银行,银联,TERM994661,0,unknown
T000020243002,622202******1885,张*阳,4967**********4602,174****9281,101.32,USD,M835244,滴滴出行,5541,消费,ECOM,中国,河南省,广州,a488955c42b20521,923c027371bdd6b1,CONTACTLESS,,4.3,68,,是,可疑待确认,618911,农业银行,收单行B,TERM696210,2,manual
T000020243529,622202******8639,施*晨,1992**********6744,151****5038,422.69,USD,M641722,中国石化,5541,消费,MOBILE,中国,河南省,青岛,2683f612ab81802d,d6cc90c2c66e080e,CONTACTLESS,6.0,,20,,否,,254143,浦发银行,收单行B,TERM997669,0,unknown
T000020243284,622202******7119,褚*飞,2894**********2426,187****5441,128.51,CNY,M612311,中国石化,5311,消费,POS,中国,河南省,杭州,c9a992e88f95aa06,8b039e8c21835fe8,ECOM,,,8,,否,,507265,交通银行,收单行C,TERM960008,0,unknown
T000020241072,622202******3732,吴*健,1334**********3129,154****9641,25.59,CNY,M383201,美团外卖,5999,消费,ECOM,中国,四川省,郑州,a150741ca39c619b,b4a3154ad87322e6,CONTACTLESS,,0.02,30,,否,,480828,浦发银行,银联,TERM691845,0,unknown
T000020241606,622202******1988,赵*亮,6284**********6125,159****3025,212.66,CNY,M855053,屈臣氏,5691,预授权,QR,中国,四川省,上海,4e70ce0449f31883,997693dc04904d70,CONTACTLESS,,,2,,否,,764704,招商银行,收单行C,TERM866519,0,unknown
