card_no,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级
6222021251837136,13,9424.56,6,0,10,7,13,0.46153846153846156,极高
6222023376077463,9,12133.18,4,0,9,7,9,0.4444444444444444,极高
6222026461974809,13,7663.6900000000005,4,0,13,9,13,0.3076923076923077,极高
6222026704841644,16,8469.359999999999,4,2,16,9,16,0.25,极高
6222028299146480,10,25561.73,4,2,10,6,10,0.4,极高
6222028737025391,15,13268.6,4,1,15,8,15,0.26666666666666666,极高
6222025748253283,7,3830.77,3,0,6,6,7,0.42857142857142855,极高
6222021939042955,8,16835.09,3,0,7,6,8,0.375,极高
6222022785736751,11,13242.4,2,2,10,7,11,0.18181818181818182,高
6222023319936135,11,10458.199999999999,2,0,10,8,10,0.18181818181818182,高
6222029333798503,10,6984.969999999999,2,2,8,7,10,0.2,高
6222027803990970,7,8884.54,2,0,7,5,7,0.2857142857142857,极高
6222029986353481,8,15886.800000000001,2,2,8,6,8,0.25,极高
6222021104906255,10,8544.17,1,0,8,6,9,0.1,高
6222022137651678,8,12398.68,1,0,8,6,8,0.125,高
6222021245522987,8,12122.0,1,1,8,5,8,0.125,高
6222025972484792,9,5649.48,1,0,8,5,9,0.1111111111111111,高
6222026491309593,11,2661.8599999999997,1,0,10,9,11,0.09090909090909091,高
6222027567496105,7,3031.92,1,1,7,5,7,0.14285714285714285,高
6222029292791081,4,4379.59,0,0,4,3,4,0.0,低
6222029303285822,7,1941.58,0,0,7,5,7,0.0,低
6222029309500117,10,12070.72,0,0,10,7,10,0.0,低
6222029410288290,10,3121.62,0,0,10,7,10,0.0,低
6222029421518487,10,3439.89,0,0,9,4,10,0.0,低
6222029438411468,8,2977.29,0,0,7,6,7,0.0,低
6222029462806178,8,4060.87,0,0,8,6,8,0.0,低
6222029526836552,5,1383.15,0,0,5,5,5,0.0,低
6222029573276057,7,2493.64,0,1,6,5,7,0.0,低
6222029592390865,9,5540.13,0,0,9,7,9,0.0,低
6222029597198563,9,2899.87,0,2,9,5,9,0.0,低
6222029623534576,2,215.25,0,0,2,2,2,0.0,低
6222029639245200,11,3196.81,0,0,9,7,11,0.0,低
6222021977515194,10,3504.09,0,0,8,7,10,0.0,低
6222021983297492,8,2671.44,0,0,8,6,8,0.0,低
6222022047905204,7,1424.58,0,2,7,6,7,0.0,低
6222022067970820,11,3654.95,0,0,11,7,11,0.0,低
6222022094024844,13,7513.719999999999,0,0,12,8,12,0.0,低
6222022125089309,7,1716.97,0,0,6,5,7,0.0,低
6222022139027119,14,4005.16,0,0,12,8,14,0.0,低
6222022140169349,11,3308.15,0,0,10,7,11,0.0,低
6222022145921803,8,5244.45,0,0,8,6,8,0.0,低
6222022149938334,11,5576.45,0,0,10,7,11,0.0,低
6222022181241943,9,2935.36,0,0,7,8,9,0.0,低
6222022188332531,13,3630.04,0,0,11,8,13,0.0,低
6222022227193073,12,7590.85,0,0,10,7,11,0.0,低
6222022232285036,13,5584.94,0,0,11,8,13,0.0,低
6222022274350418,5,1150.26,0,0,5,4,5,0.0,低
6222022320763135,17,11205.27,0,0,15,8,17,0.0,低
6222022351531223,14,8371.79,0,0,13,7,14,0.0,低
6222022439622619,12,3707.6,0,0,10,6,12,0.0,低
6222022445662585,9,2762.19,0,1,8,8,9,0.0,低
6222022452066459,8,887.15,0,0,8,5,8,0.0,低
6222022465576748,12,4093.4900000000002,0,1,12,7,12,0.0,低
6222022503068227,8,1521.69,0,0,6,7,8,0.0,低
6222022566942273,14,7159.12,0,1,11,7,14,0.0,低
6222022591589823,14,14387.3,0,0,14,7,14,0.0,低
6222022625792787,15,6656.28,0,0,13,6,15,0.0,低
6222022627677155,12,4527.04,0,0,11,8,11,0.0,低
6222022699887270,8,2319.22,0,0,7,6,8,0.0,低
6222022811967841,7,3541.2999999999997,0,0,6,4,7,0.0,低
6222022812140441,5,3739.9799999999996,0,1,5,3,4,0.0,低
6222022825989011,6,1980.5,0,0,6,4,6,0.0,低
6222022867302554,9,5052.5199999999995,0,0,9,7,9,0.0,低
6222022926780541,12,4786.81,0,0,11,9,12,0.0,低
6222022948728483,9,2683.52,0,0,9,6,9,0.0,低
6222022960488639,16,5332.46,0,0,13,8,15,0.0,低
6222022970753705,8,2858.07,0,0,7,4,8,0.0,低
6222022982979741,6,2548.75,0,0,5,4,6,0.0,低
6222023030106617,14,4619.92,0,0,10,9,14,0.0,低
6222023196545325,16,6436.55,0,0,14,8,16,0.0,低
6222023303082117,6,6183.51,0,0,6,3,6,0.0,低
6222023316787198,12,2133.14,0,0,11,7,11,0.0,低
6222023328710672,9,5917.04,0,0,9,6,9,0.0,低
6222023343292475,13,6042.84,0,0,11,7,13,0.0,低
6222023361388464,10,5043.099999999999,0,0,9,9,10,0.0,低
6222023363629219,10,7986.719999999999,0,0,9,5,10,0.0,低
6222023392080953,7,3237.18,0,0,7,5,7,0.0,低
6222023476426797,9,9638.89,0,1,8,7,9,0.0,低
6222023479708607,16,12431.550000000001,0,0,14,8,16,0.0,低
6222023553440342,12,10052.27,0,2,11,6,12,0.0,低
6222023555656321,10,3416.12,0,0,8,5,10,0.0,低
6222023597724331,9,3438.48,0,0,7,5,9,0.0,低
6222023615507143,9,2478.45,0,0,8,6,9,0.0,低
6222023660223333,12,5258.81,0,0,11,8,12,0.0,低
6222023691864041,9,3899.28,0,0,9,7,9,0.0,低
6222023693985578,7,5419.51,0,1,7,5,7,0.0,低
6222023694860228,10,3866.65,0,0,10,7,9,0.0,低
6222023710566582,9,6765.84,0,0,9,7,9,0.0,低
6222023746317213,14,9940.72,0,0,13,6,14,0.0,低
6222023783290795,7,5787.44,0,0,7,5,7,0.0,低
6222023792347639,11,5840.35,0,0,11,6,11,0.0,低
6222023799264931,9,2971.48,0,0,9,7,9,0.0,低
6222023849232839,13,5568.400000000001,0,0,13,7,13,0.0,低
6222023875303857,17,7739.07,0,0,15,7,17,0.0,低
6222023880327491,13,3473.27,0,0,12,7,13,0.0,低
6222023980491761,7,5138.12,0,0,6,7,7,0.0,低
6222023987248494,8,4941.639999999999,0,1,8,6,8,0.0,低
6222024026113008,9,5677.65,0,0,8,6,8,0.0,低
6222024034047118,14,4232.55,0,1,13,6,14,0.0,低
6222024070964768,7,3415.89,0,0,6,4,7,0.0,低
6222024095476665,9,2001.91,0,1,9,7,9,0.0,低
6222024131356954,12,4843.25,0,0,10,8,12,0.0,低
6222024131575764,5,1760.95,0,0,5,4,5,0.0,低
6222024163119785,13,10539.33,0,1,12,9,13,0.0,低
6222024226113732,14,6670.03,0,0,14,9,14,0.0,低
6222024239406957,10,2503.54,0,0,7,6,10,0.0,低
6222024274958945,7,3491.6200000000003,0,0,7,5,7,0.0,低
6222024289233844,7,3109.61,0,0,6,6,6,0.0,低
6222024311931853,8,5093.81,0,1,6,5,8,0.0,低
6222024332894265,14,6112.87,0,0,14,7,14,0.0,低
6222024361393222,14,7040.780000000001,0,0,14,7,14,0.0,低
6222024460967357,9,10108.64,0,0,8,6,9,0.0,低
6222024466589567,11,6071.96,0,0,10,6,11,0.0,低
6222024482141802,3,1317.02,0,0,2,3,3,0.0,低
6222024482238042,16,5073.68,0,1,13,9,15,0.0,低
6222024518871744,10,2659.69,0,0,9,6,10,0.0,低
6222024590711152,10,7015.59,0,0,9,6,10,0.0,低
6222024633987776,13,4444.45,0,0,13,8,13,0.0,低
6222024642197907,12,5384.76,0,1,10,8,12,0.0,低
6222024643576871,6,5249.0599999999995,0,0,6,4,6,0.0,低
6222024645120421,8,1717.81,0,0,8,5,8,0.0,低
6222024696689457,11,5198.74,0,0,8,6,10,0.0,低
6222024700855390,9,2335.12,0,0,8,6,9,0.0,低
6222024712367625,10,3013.21,0,0,8,7,10,0.0,低
6222024713453204,15,6840.21,0,0,15,7,15,0.0,低
6222024745927824,10,3146.65,0,0,10,5,10,0.0,低
6222024776436931,10,9896.39,0,0,9,7,10,0.0,低
6222024783282817,10,1862.11,0,0,10,6,10,0.0,低
6222024853479481,17,6569.46,0,1,14,8,17,0.0,低
6222024877520294,8,16213.79,0,0,8,5,8,0.0,低
6222024882343658,8,3915.9,0,0,8,7,8,0.0,低
6222024888749350,12,3881.5299999999997,0,1,11,6,12,0.0,低
6222024919706735,12,6454.47,0,0,11,6,12,0.0,低
6222024965395580,6,957.72,0,0,6,5,6,0.0,低
6222024993808565,13,5324.89,0,0,11,6,13,0.0,低
6222025033992825,8,1696.1,0,1,7,7,8,0.0,低
6222025067116918,7,2294.73,0,0,7,6,7,0.0,低
6222025078551333,5,3138.42,0,0,5,4,5,0.0,低
6222025160575046,10,3510.6,0,1,10,7,10,0.0,低
6222025161807235,7,3243.89,0,0,6,7,7,0.0,低
6222025278201677,18,5857.82,0,1,15,8,17,0.0,低
6222025284391408,13,3964.98,0,1,9,7,13,0.0,低
6222025296710795,6,3627.57,0,0,6,5,6,0.0,低
6222025310195918,11,5475.83,0,1,10,7,10,0.0,低
6222025419627962,11,4546.0199999999995,0,0,10,9,11,0.0,低
6222025510938155,11,4397.62,0,0,10,7,11,0.0,低
6222025567816720,8,5671.62,0,0,8,5,8,0.0,低
6222025570828113,6,1019.97,0,0,5,6,6,0.0,低
6222025607762160,12,4894.32,0,0,12,8,12,0.0,低
6222025646751885,6,4531.86,0,1,6,5,6,0.0,低
6222025659161352,9,2918.15,0,0,8,6,9,0.0,低
6222025693307665,7,6584.4,0,0,6,6,7,0.0,低
6222025710360983,6,4305.37,0,1,6,5,6,0.0,低
6222025728765136,9,3848.06,0,0,9,8,8,0.0,低
6222025736462531,7,2428.42,0,0,6,4,7,0.0,低
6222021106456634,11,3858.83,0,0,9,9,10,0.0,低
6222025759234471,15,7453.360000000001,0,0,14,7,15,0.0,低
6222025774080233,7,1747.9600000000003,0,0,6,5,7,0.0,低
