txn_id,card_no,cardholder_name,id_card,phone,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,6222029786748825,许杰健,274417197702899544,18234360915,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,DEV00000029,57.200.94.211,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020241432,6222023880327491,许玲晨,378365200503643110,18285669527,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,DEV00000108,108.5.231.35,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,6222027292076361,秦秀华,548118198511615912,15465144040,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,DEV00000204,149.118.2.223,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020243247,6222029677466102,赵军浩,271700199506504628,13263149188,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,DEV00000140,59.61.116.209,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
T000020243417,6222023553440342,周强兵,272574197102525239,15526539576,3670.51,CNY,M947458,支付宝,5691,消费,MOBILE,中国,四川省,成都,DEV00000353,196.214.133.18,MANUAL,6.0,49.77,13,,否,,971729,工商银行,银联,TERM665128,0,unknown
T000020242084,6222029697354961,韩艳平,139911197111107186,15867185393,620.17,CNY,M965845,肯德基,5814,消费,QR,中国,北京市,北京,DEV00000086,53.254.113.214,MANUAL,,,15,,否,,374433,中国银行,收单行B,TERM780513,0,unknown
T000020242694,6222023361388464,郑静林,623704196207151334,17863809501,323.91,CNY,M587282,屈臣氏,5691,消费,APP,中国,江苏省,深圳,DEV00000118,122.153.25.96,MAG,,,2,,否,,863585,工商银行,收单行B,TERM148751,0,unknown
T000020243588,6222029807209816,沈燕林,224677196611855788,17745346516,1476.25,CNY,M284692,携程旅行,5541,消费,APP,中国,北京市,成都,DEV00000117,110.166.163.235,CHIP,,,28,,否,,488297,中国银行,收单行C,TERM223371,0,unknown
T000020242626,6222021116402431,秦平亮,280817197010162639,19960218471,386.55,CNY,M886931,中国石油,4111,消费,ECOM,中国,江苏省,南京,DEV00000252,14.28.212.238,ECOM,,,22,,否,,941604,工商银行,收单行B,TERM950127,0,unknown
T000020242432,6222029597198563,曹丽俊,231423196502157921,19984337438,199.43,HKD,M383201,华润万家,5311,消费,QR,中国,湖北省,南京,DEV00000307,58.94.143.229,ECOM,,,10,,否,,337605,招商银行,收单行C,TERM310609,0,unknown
T000020243275,6222028982597239,陶秀凯,502635198808978616,19869942130,46.04,CNY,M353080,滴滴出行,4111,消费,MOBILE,中国,北京市,郑州,DEV00000018,91.73.18.157,MANUAL,,,27,,否,,768758,浦发银行,收单行B,TERM289601,0,unknown
T000020240933,6222025419627962,陶洋超,508325196002336609,15432117242,132.81,CNY,M835244,饿了么,4111,消费,QR,中国,河南省,成都,DEV00000312,200.61.100.92,MANUAL,,,16,,否,,112793,中国银行,收单行B,TERM481220,0,unknown
T000020241760,6222024026113008,冯秀华,410727198311603123,13611979451,225.86,CNY,M556732,美团外卖,5311,消费,APP,中国,山东省,武汉,DEV00000094,213.138.229.250,CONTACTLESS,,,25,,否,,383132,中信银行,收单行B,TERM254592,0,unknown
T000020242788,6222028086172302,金勇辉,471354197001742635,19691237967,57.64,CNY,M355709,星巴克,5812,消费,APP,中国,北京市,深圳,DEV00000044,14.228.221.250,MAG,24.0,1.49,27,,否,,543222,浦发银行,收单行C,TERM355565,0,unknown
T000020242068,6222023328710672,陶华峰,365052199401806229,13370737451,991.83,CNY,M556641,屈臣氏,5311,消费,QR,中国,北京市,深圳,DEV00000333,153.5.59.239,MANUAL,,,19,,否,,262470,工商银行,银联,TERM458655,0,unknown
T000020242398,6222027380780055,郑军平,635127199211291191,18969884758,630.42,CNY,M587282,饿了么,5411,预授权,MOBILE,中国,福建省,北京,DEV00000245,85.120.9.247,ECOM,12.0,,23,,否,,584371,农业银行,收单行B,TERM497653,0,unknown
T000020241472,6222026009268066,曹军平,424984200502428934,13112181793,212.71,CNY,M606983,去哪儿,5211,消费,APP,中国,四川省,成都,DEV00000289,24.58.245.75,CHIP,,,20,,否,,217455,中国银行,收单行B,TERM919694,0,unknown
T000020242604,6222024642197907,王英辉,549157196401732491,13668972654,2875.72,CNY,M800646,美团外卖,5999,消费,MOBILE,中国,北京市,北京,DEV00000100,88.70.229.250,ECOM,,,3,,否,,442707,浦发银行,收单行A,TERM633524,0,unknown
T000020241279,6222023980491761,华军海,337027196202525113,19197861794,331.44,CNY,M936587,京东商城,4111,消费,APP,中国,浙江省,杭州,DEV00000297,168.42.12.13,CONTACTLESS,,,2,,否,,140530,农业银行,银联,TERM994661,0,unknown
T000020243002,6222025646751885,张军阳,496755199604594602,17403979281,101.32,USD,M835244,滴滴出行,5541,消费,ECOM,中国,河南省,广州,DEV00000088,24.38.38.158,CONTACTLESS,,4.3,68,,是,可疑待确认,618911,农业银行,收单行B,TERM696210,2,manual
