txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,622202******8825,许*健,2744**********9544,182****0915,2024-07-01 01:00:00,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,cc9ff761316ea025,e271e22297be83e1,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020241432,622202******7491,许*晨,3783**********3110,182****9527,2024-07-01 21:00:00,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,3d7789ce1d25ea99,9c5c4e1e670ab40d,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,622202******6361,秦*华,5481**********5912,154****4040,2024-07-02 10:00:00,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,ec0a6b19aec39dd1,0fb17630504d9eed,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020243247,622202******6102,赵*浩,2717**********4628,132****9188,2024-07-03 17:00:00,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,7795d4b603c92c92,906d5353afebec36,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
T000020243417,622202******0342,周*兵,2725**********5239,155****9576,2024-07-05 01:00:00,3670.51,CNY,M947458,支付宝,5691,消费,MOBILE,中国,四川省,成都,9b474293b7786f6a,32fba4816463a0b0,MANUAL,6.0,49.77,13,,否,,971729,工商银行,银联,TERM665128,0,unknown
T000020242084,622202******4961,韩*平,1399**********7186,158****5393,2024-07-05 05:00:00,620.17,CNY,M965845,肯德基,5814,消费,QR,中国,北京市,北京,e0cc547de1893c14,279d601398e30287,MANUAL,,,15,,否,,374433,中国银行,收单行B,TERM780513,0,unknown
T000020241365,622202******6829,杨*东,4139**********2999,175****3288,2024-07-05 10:00:00,1134.32,CNY,M611233,天猫超市,5999,消费,APP,中国,北京市,广州,93e2d1c2a435882e,6494ff3800587f2f,MAG,,,23,,否,,871140,浦发银行,银联,TERM325499,0,unknown
T000020243168,622202******7444,卫*龙,3937**********5276,177****7622,2024-07-06 08:00:00,116.12,CNY,M936587,肯德基,5814,转账,POS,中国,河南省,青岛,f064761fbd509ced,be70b0e11e518a8b,MAG,,,3,,否,,920791,浦发银行,银联,TERM701897,0,unknown
T000020243353,622202******6063,李*亮,2594**********9495,182****5869,2024-07-06 17:00:00,504.3,CNY,M912270,微信支付,5541,转账,MOBILE,中国,四川省,上海,935186b05174f5e5,e63ca9cb54738847,CONTACTLESS,,,7,,否,,241459,建设银行,收单行B,TERM760698,0,unknown
T000020241024,622202******6735,杨*超,3972**********5130,135****5234,2024-07-07 09:00:00,2593.5,CNY,M855053,天猫超市,5411,消费,QR,中国,四川省,南京,505314b9fdc173a3,56da27f7ba02de51,CHIP,6.0,36.22,6,,否,,546853,工商银行,银联,TERM923861,0,unknown
