txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020240857,6222029786748825,许杰健,274417197702899544,18234360915,2024-07-01 01:00:00,4847.27,CNY,M526170,星巴克,4511,消费,ECOM,中国,北京市,郑州,DEV00000029,57.200.94.211,ECOM,,167.82,29,,否,,600607,交通银行,银联,TERM967438,0,unknown
T000020241432,6222023880327491,许玲晨,378365200503643110,18285669527,2024-07-01 21:00:00,51.54,CNY,M993085,天猫超市,5411,消费,APP,中国,上海市,深圳,DEV00000108,108.5.231.35,MAG,,1.92,19,,否,,654641,中国银行,收单行A,TERM839654,0,unknown
T000020242332,6222027292076361,秦秀华,548118198511615912,15465144040,2024-07-02 10:00:00,104.82,CNY,M381433,海澜之家,5541,消费,ECOM,中国,四川省,南京,DEV00000204,149.118.2.223,ECOM,,3.5,11,,否,,667177,中信银行,收单行B,TERM218896,0,unknown
T000020243247,6222029677466102,赵军浩,271700199506504628,13263149188,2024-07-03 17:00:00,130.5,CNY,M130094,华润万家,5999,取现,APP,中国,浙江省,杭州,DEV00000140,59.61.116.209,CHIP,12.0,,28,,否,,911408,招商银行,银联,TERM280474,0,unknown
T000020243417,6222023553440342,周强兵,272574197102525239,15526539576,2024-07-05 01:00:00,3670.51,CNY,M947458,支付宝,5691,消费,MOBILE,中国,四川省,成都,DEV00000353,196.214.133.18,MANUAL,6.0,49.77,13,,否,,971729,工商银行,银联,TERM665128,0,unknown
T000020242084,6222029697354961,韩艳平,139911197111107186,15867185393,2024-07-05 05:00:00,620.17,CNY,M965845,肯德基,5814,消费,QR,中国,北京市,北京,DEV00000086,53.254.113.214,MANUAL,,,15,,否,,374433,中国银行,收单行B,TERM780513,0,unknown
T000020241365,6222028943866829,杨鹏东,413927197902512999,17593493288,2024-07-05 10:00:00,1134.32,CNY,M611233,天猫超市,5999,消费,APP,中国,北京市,广州,DEV00000120,79.225.65.144,MAG,,,23,,否,,871140,浦发银行,银联,TERM325499,0,unknown
T000020243168,6222028612747444,卫霞龙,393768196006615276,17778757622,2024-07-06 08:00:00,116.12,CNY,M936587,肯德基,5814,转账,POS,中国,河南省,青岛,DEV00000046,217.37.63.246,MAG,,,3,,否,,920791,浦发银行,银联,TERM701897,0,unknown
T000020243353,6222026237376063,李磊亮,259497196007209495,18282365869,2024-07-06 17:00:00,504.3,CNY,M912270,微信支付,5541,转账,MOBILE,中国,四川省,上海,DEV00000335,158.144.97.177,CONTACTLESS,,,7,,否,,241459,建设银行,收单行B,TERM760698,0,unknown
T000020241024,6222024919706735,杨军超,397202198702015130,13565245234,2024-07-07 09:00:00,2593.5,CNY,M855053,天猫超市,5411,消费,QR,中国,四川省,南京,DEV00000235,135.148.104.106,CHIP,6.0,36.22,6,,否,,546853,工商银行,银联,TERM923861,0,unknown
T000020240890,6222021955345537,陶涛亮,141434196207937904,17315297327,2024-07-07 23:00:00,244.73,CNY,M869440,天猫超市,5814,消费,POS,中国,广东省,杭州,DEV00000105,141.168.31.61,MANUAL,,,3,,否,,739633,工商银行,收单行C,TERM174200,0,unknown
T000020243275,6222028982597239,陶秀凯,502635198808978616,19869942130,2024-07-08 00:00:00,46.04,CNY,M353080,滴滴出行,4111,消费,MOBILE,中国,北京市,郑州,DEV00000018,91.73.18.157,MANUAL,,,27,,否,,768758,浦发银行,收单行B,TERM289601,0,unknown
T000020240689,6222029639245200,韩霞阳,658513200402968091,15617468048,2024-07-09 01:00:00,904.67,CNY,M526170,星巴克,5814,消费,POS,中国,湖北省,武汉,DEV00000286,229.27.5.165,MAG,,,18,,否,,619920,农业银行,收单行A,TERM887931,0,unknown
T000020242347,6222028664882079,施秀浩,209779200012142506,18826329701,2024-07-09 04:00:00,86.47,CNY,M189771,拼多多,4111,消费,ECOM,中国,浙江省,北京,DEV00000082,99.214.70.76,CONTACTLESS,,,11,,否,,899205,工商银行,收单行C,TERM760000,0,unknown
T000020242803,6222026687206971,蒋文龙,248687197103525254,17842911788,2024-07-09 12:00:00,96.45,CNY,M587282,星巴克,5541,消费,POS,中国,湖北省,南京,DEV00000333,248.130.111.223,MAG,,,25,,否,,172750,农业银行,收单行B,TERM534041,0,unknown
T000020241577,6222029986353481,魏英晨,482365197210405572,15159238136,2024-07-09 15:00:00,108.14,CNY,M290672,中国石化,5999,消费,APP,中国,浙江省,广州,DEV00000350,167.178.172.194,MAG,,5.07,1,,否,,990680,工商银行,银联,TERM895706,0,unknown
T000020242398,6222027380780055,郑军平,635127199211291191,18969884758,2024-07-09 16:00:00,630.42,CNY,M587282,饿了么,5411,预授权,MOBILE,中国,福建省,北京,DEV00000245,85.120.9.247,ECOM,12.0,,23,,否,,584371,农业银行,收单行B,TERM497653,0,unknown
T000020241472,6222026009268066,曹军平,424984200502428934,13112181793,2024-07-09 17:00:00,212.71,CNY,M606983,去哪儿,5211,消费,APP,中国,四川省,成都,DEV00000289,24.58.245.75,CHIP,,,20,,否,,217455,中国银行,收单行B,TERM919694,0,unknown
T000020243381,6222026288227800,陶军凯,525014197203188149,13805448357,2024-07-09 21:00:00,150.75,CNY,M437960,麦当劳,4111,消费,APP,中国,湖北省,深圳,DEV00000332,14.190.127.126,MANUAL,,1.92,16,,否,,435613,建设银行,收单行A,TERM517956,0,unknown
T000020243002,6222025646751885,张军阳,496755199604594602,17403979281,2024-07-10 20:00:00,101.32,USD,M835244,滴滴出行,5541,消费,ECOM,中国,河南省,广州,DEV00000088,24.38.38.158,CONTACTLESS,,4.3,68,,是,可疑待确认,618911,农业银行,收单行B,TERM696210,2,manual
T000020241408,6222023392080953,姜春阳,635165199503029813,19322397748,2024-07-11 10:00:00,202.82,CNY,M437960,星巴克,5812,消费,QR,中国,浙江省,广州,DEV00000198,241.124.58.105,ECOM,,,4,,否,,469428,建设银行,收单行C,TERM540888,0,unknown
T000020242718,6222024361393222,姜飞民,353106196301263246,19640514038,2024-07-11 22:00:00,122.65,CNY,M993085,支付宝,4511,消费,MOBILE,中国,河南省,北京,DEV00000337,33.136.151.85,CONTACTLESS,3.0,,3,,否,,598399,招商银行,收单行B,TERM957510,0,unknown
T000020240681,6222022625792787,赵建民,291614199801184666,17753204271,2024-07-12 07:00:00,464.59,CNY,M664315,微信支付,4111,消费,ECOM,中国,福建省,广州,DEV00000217,230.192.178.118,CONTACTLESS,,,21,,否,,645928,浦发银行,收单行A,TERM107704,0,unknown
T000020241717,6222029462806178,张艳海,572653200111839636,17662611415,2024-07-13 15:00:00,204.66,CNY,M260422,微信支付,5211,消费,MOBILE,中国,福建省,青岛,DEV00000305,175.177.185.116,CHIP,,,13,,否,,741806,招商银行,收单行C,TERM376767,0,unknown
T000020241413,6222022785736751,施静阳,505934197003986518,15585698123,2024-07-14 17:00:00,1367.39,CNY,M456871,星巴克,5411,预授权,QR,中国,江苏省,上海,DEV00000003,43.65.127.10,MAG,,,6,,否,,140845,交通银行,银联,TERM879677,0,unknown
T000020241689,6222025837082260,陶强博,548872196306807290,18650156157,2024-07-15 06:00:00,135.52,CNY,M322423,天猫超市,5541,消费,QR,中国,上海市,武汉,DEV00000224,159.10.200.178,CHIP,,,8,,否,,467967,工商银行,收单行B,TERM511955,0,unknown
T000020242516,6222024853479481,秦洋俊,337434196001133733,13994580919,2024-07-15 13:00:00,287.42,CNY,M456871,屈臣氏,5211,消费,MOBILE,中国,河南省,青岛,DEV00000249,16.214.100.38,ECOM,,1.14,13,,否,,495736,农业银行,收单行A,TERM192070,0,unknown
T000020242185,6222024482238042,韩飞东,118556197007984513,15430178116,2024-07-17 09:00:00,315.26,CNY,M300337,屈臣氏,5211,消费,APP,中国,湖北省,成都,DEV00000012,126.209.223.92,MANUAL,,,14,,否,,427017,中国银行,收单行C,TERM725079,0,unknown
T000020242497,6222026633778586,蒋飞国,320984200406488528,15226375654,2024-07-17 10:00:00,125.1,CNY,M886931,京东商城,5999,消费,POS,中国,福建省,北京,DEV00000109,144.113.51.196,MAG,,5.46,9,,否,,871659,招商银行,收单行B,TERM627306,0,unknown
T000020241003,6222022960488639,蒋娜凯,492281196305692474,15199188814,2024-07-17 23:00:00,768.79,CNY,M682144,屈臣氏,5411,消费,QR,中国,湖北省,上海,DEV00000129,21.130.231.39,CONTACTLESS,,,18,,否,,295056,中国银行,银联,TERM426734,0,unknown
T000020242054,6222027249213370,尤刚超,568482196306107841,13132508503,2024-07-18 00:00:00,183.67,CNY,M284692,华润万家,5814,消费,MOBILE,中国,四川省,深圳,DEV00000368,152.244.27.78,CONTACTLESS,,,5,,否,,669110,中信银行,银联,TERM173253,0,unknown
T000020242542,6222026642201119,曹杰健,553812199201683870,19441047516,2024-07-18 05:00:00,92.25,HKD,M721254,屈臣氏,5999,消费,QR,中国,上海市,广州,DEV00000289,181.228.168.211,MAG,6.0,,17,,否,,944930,中信银行,收单行A,TERM963257,0,unknown
T000020241050,6222028055556030,许涛兵,161573197007621782,15524759964,2024-07-18 08:00:00,90.26,CNY,M936587,天猫超市,5812,消费,QR,中国,四川省,深圳,DEV00000221,71.145.27.61,MANUAL,,0.46,9,,否,,593248,建设银行,收单行B,TERM585705,0,unknown
T000020242166,6222021104906255,冯华林,475422197111634894,13446519770,2024-07-18 11:00:00,295.4,CNY,M912270,屈臣氏,5814,消费,MOBILE,中国,广东省,北京,DEV00000373,14.24.89.6,MANUAL,,,30,,否,,722821,农业银行,收单行B,TERM137756,0,unknown
T000020242112,6222025278201677,金静凯,298820198911835499,18650383071,2024-07-19 02:00:00,712.89,CNY,M284692,肯德基,5812,消费,ECOM,中国,河南省,上海,DEV00000280,20.101.117.79,MANUAL,,,4,,否,,147921,交通银行,收单行A,TERM113236,0,unknown
T000020242737,6222029986353481,孙燕林,145990200009134710,17482817586,2024-07-20 03:00:00,4119.48,CNY,M383201,优衣库,5814,消费,ECOM,中国,浙江省,青岛,DEV00000205,49.149.139.92,CONTACTLESS,,,85,R003,否,,266322,招商银行,银联,TERM537964,2,rule
T000020243366,6222024131356954,华磊海,398998197210873761,17245813545,2024-07-20 13:00:00,1414.19,CNY,M587282,华润万家,5541,消费,QR,中国,江苏省,广州,DEV00000152,187.217.80.169,ECOM,,,12,,否,,260600,农业银行,银联,TERM603279,0,unknown
T000020241541,6222021547374338,孔桂健,654589196403509810,15249363071,2024-07-20 17:00:00,1036.78,CNY,M357420,饿了么,5541,消费,MOBILE,中国,湖北省,成都,DEV00000341,198.69.136.99,ECOM,,2.72,70,,否,,590429,中国银行,收单行B,TERM609576,0,unknown
T000020241774,6222027418301077,孔华杰,563732200106203526,15716282945,2024-07-20 21:00:00,968.88,CNY,M682144,微信支付,5541,消费,MOBILE,中国,四川省,郑州,DEV00000286,173.106.246.92,CONTACTLESS,6.0,,19,,否,,414478,浦发银行,收单行B,TERM597071,0,unknown
T000020242361,6222028826851692,钱娜飞,579151196901043729,19677278390,2024-07-21 04:00:00,1182.6,CNY,M456871,携程旅行,5541,消费,ECOM,中国,湖北省,武汉,DEV00000297,114.249.1.197,ECOM,12.0,,14,,否,,140916,建设银行,收单行C,TERM799990,0,unknown
T000020241878,6222025710360983,秦建林,149989198401997446,13561771935,2024-07-21 06:00:00,191.58,CNY,M618317,滴滴出行,5691,消费,MOBILE,中国,湖北省,北京,DEV00000233,136.84.37.66,CHIP,,4.4,48,,是,可疑待确认,945486,工商银行,收单行C,TERM593799,2,manual
T000020241213,6222022439622619,陶兰博,214948199212288231,13192924475,2024-07-21 13:00:00,319.45,CNY,M612311,优衣库,4511,消费,ECOM,中国,北京市,成都,DEV00000316,145.96.88.77,MAG,,8.95,2,,否,,566927,招商银行,收单行C,TERM908971,0,unknown
T000020240967,6222025693307665,姜涛浩,587085199004148441,19486692169,2024-07-22 03:00:00,116.03,CNY,M992288,微信支付,5814,消费,POS,中国,河南省,上海,DEV00000199,66.82.188.190,CHIP,,0.25,7,,否,,530305,中国银行,银联,TERM231097,0,unknown
T000020243129,6222023343292475,曹芳华,463279197304776840,19919805873,2024-07-22 07:00:00,527.71,CNY,M992288,华润万家,5691,消费,APP,中国,四川省,上海,DEV00000152,252.204.252.18,MAG,,,30,,否,,867736,中国银行,收单行C,TERM587718,0,unknown
T000020243411,6222028737025391,陶秀俊,577074198802181414,17255626859,2024-07-22 10:00:00,2291.39,CNY,M572700,饿了么,5691,消费,APP,中国,山东省,青岛,DEV00000196,159.191.165.60,CONTACTLESS,,53.53,83,"R002,R003",否,,395552,招商银行,收单行B,TERM156423,2,rule
T000020242712,6222023849232839,吕军东,141274196802064374,17275503155,2024-07-22 18:00:00,491.81,CNY,M782054,微信支付,5211,预授权,QR,中国,山东省,青岛,DEV00000050,31.132.213.136,CHIP,,,23,,否,,934819,中国银行,收单行B,TERM176979,0,unknown
T000020241173,6222029986353481,曹文泽,252126196408394220,18683794890,2024-07-22 21:00:00,1703.59,CNY,M392477,京东商城,5999,消费,POS,中国,河南省,成都,DEV00000239,122.160.15.16,CHIP,,81.37,82,"R002,R003",是,确认欺诈,690438,工商银行,收单行A,TERM937319,1,manual
T000020241826,6222023319936135,沈桂华,173425198308229822,15987361690,2024-07-24 06:00:00,1657.35,CNY,M353080,麦当劳,5814,消费,APP,中国,湖北省,深圳,DEV00000104,240.42.209.255,MANUAL,,6.99,89,"R002,R003",是,确认欺诈,307582,农业银行,银联,TERM883564,1,manual
T000020243560,6222027519578899,李燕泽,594863198410183642,17403069718,2024-07-24 13:00:00,2872.57,CNY,M835244,微信支付,4511,消费,ECOM,中国,北京市,武汉,DEV00000054,212.225.84.35,ECOM,,,7,,否,,212038,招商银行,收单行C,TERM676313,0,unknown
T000020242538,6222029677466102,孔静鹏,537156199904122908,13725579421,2024-07-25 11:00:00,488.09,CNY,M936587,星巴克,5211,消费,APP,中国,上海市,杭州,DEV00000238,193.185.245.71,CHIP,,12.4,17,,否,,549485,中信银行,收单行A,TERM811243,0,unknown
T000020243318,6222023030106617,金玲凯,367940196110339192,13662452780,2024-07-25 12:00:00,247.45,CNY,M971084,中国石油,4511,消费,POS,中国,江苏省,青岛,DEV00000234,59.111.46.78,MAG,,,29,,否,,861169,中信银行,收单行B,TERM830567,0,unknown
T000020242030,6222021248786714,王勇民,112496196901357563,13841102305,2024-07-26 11:00:00,56.02,CNY,M866536,饿了么,5411,消费,ECOM,中国,广东省,成都,DEV00000121,28.212.230.109,MANUAL,,,15,,否,,275338,农业银行,银联,TERM681581,0,unknown
T000020243197,6222029786748825,秦秀林,562057198506094540,13346708636,2024-07-27 01:00:00,119.38,HKD,M800646,滴滴出行,5691,消费,POS,中国,福建省,成都,DEV00000100,103.38.253.249,ECOM,,3.18,6,,否,,733006,中国银行,收单行C,TERM668684,0,unknown
T000020242892,6222021519709079,吕飞浩,305103196905374834,13463335552,2024-07-27 09:00:00,986.32,CNY,M993085,拼多多,5411,消费,QR,中国,浙江省,郑州,DEV00000183,179.47.171.11,MANUAL,12.0,,10,,否,,925063,农业银行,收单行B,TERM632795,0,unknown
T000020241665,6222022445662585,秦建杰,293466198407636596,18168874476,2024-07-28 01:00:00,41.11,CNY,M971084,星巴克,4111,消费,ECOM,中国,河南省,郑州,DEV00000296,216.212.244.243,CONTACTLESS,,1.53,5,,否,,431722,中国银行,银联,TERM473711,0,unknown
T000020241513,6222025278201677,秦建东,563127199910581466,13127005199,2024-07-28 06:00:00,1847.43,CNY,M894993,去哪儿,4111,消费,POS,中国,浙江省,广州,DEV00000116,76.154.254.94,ECOM,3.0,,7,,否,,851767,浦发银行,收单行A,TERM869300,0,unknown
T000020243268,6222024163119785,李文东,275674197712212276,15718132080,2024-07-28 20:00:00,129.95,CNY,M992288,饿了么,4511,消费,MOBILE,中国,江苏省,上海,DEV00000342,67.95.246.33,MANUAL,,4.53,22,,否,,224324,招商银行,收单行A,TERM268573,0,unknown
T000020241999,6222022047905204,魏文飞,463485196403047128,19788443036,2024-07-28 21:00:00,64.9,CNY,M355709,沃尔玛,5814,消费,MOBILE,中国,福建省,南京,DEV00000170,106.233.1.80,MAG,,,12,,否,,740004,中信银行,收单行C,TERM148639,0,unknown
T000020241245,6222026924716023,孔娜博,438405197011325984,15776644713,2024-07-29 02:00:00,1179.12,CNY,M355709,天猫超市,5691,消费,QR,中国,河南省,北京,DEV00000363,77.27.67.230,MANUAL,,,7,,否,,555426,中信银行,收单行C,TERM630935,0,unknown
T000020241960,6222021127978094,钱娜俊,228680196606799177,17151242736,2024-07-29 04:00:00,999.36,CNY,M353080,中国石化,5814,消费,MOBILE,中国,山东省,成都,DEV00000066,12.48.33.37,MANUAL,6.0,,16,,否,,867790,招商银行,收单行B,TERM234832,0,unknown
T000020240724,6222021251837136,李鹏凯,385311196509179221,18930888412,2024-07-29 16:00:00,109.34,CNY,M947458,饿了么,5691,消费,QR,中国,北京市,成都,DEV00000287,51.249.202.167,ECOM,,,18,,否,,871403,中国银行,收单行B,TERM175124,0,unknown
T000020240959,6222022970753705,李刚林,286698196011841206,13450962891,2024-07-29 20:00:00,219.27,CNY,M912270,京东商城,4511,消费,ECOM,中国,江苏省,成都,DEV00000289,96.35.88.49,ECOM,,,1,,否,,462018,建设银行,收单行B,TERM728850,0,unknown
T000020240982,6222029916336966,张平博,195101198608042139,18530097895,2024-07-30 17:00:00,54.43,CNY,M389688,海澜之家,5311,消费,APP,中国,福建省,北京,DEV00000329,203.202.79.141,CHIP,6.0,,24,,否,,220847,招商银行,收单行B,TERM350887,0,unknown
T000020241982,6222027803990970,朱霞晨,153573197111505974,17594846252,2024-07-31 08:00:00,290.37,CNY,M894993,屈臣氏,5311,消费,MOBILE,中国,河南省,深圳,DEV00000294,245.51.43.110,MAG,,8.78,4,,否,,211965,招商银行,收单行C,TERM360892,0,unknown
T000020241899,6222021106456634,华桂飞,635298199011763749,18432730966,2024-07-31 12:00:00,135.76,CNY,M587282,海澜之家,5691,消费,MOBILE,中国,四川省,南京,DEV00000058,58.23.26.14,MAG,,4.35,30,,否,,457115,中国银行,收单行B,TERM399593,0,unknown
T000020241356,6222021939042955,杨玲健,293223196902385151,13480698743,2024-07-31 19:00:00,3232.81,CNY,M835244,拼多多,5211,消费,MOBILE,中国,四川省,深圳,DEV00000199,97.16.157.125,CONTACTLESS,,89.19,90,R003,否,,978715,建设银行,收单行C,TERM575825,2,rule
T000020242345,6222028934927891,郑飞峰,532519199510281177,18513999545,2024-07-31 21:00:00,2388.85,CNY,M587455,海澜之家,5211,消费,QR,中国,河南省,武汉,DEV00000153,239.102.100.241,CHIP,,64.85,16,,否,,336093,建设银行,收单行B,TERM614200,0,unknown
T000020242817,6222028299146480,严军鹏,338812197405069530,17980445033,2024-08-01 12:00:00,5271.2,EUR,M189771,饿了么,5999,消费,POS,中国,河南省,郑州,DEV00000285,132.29.157.147,MANUAL,,,80,R003,是,确认欺诈,471761,交通银行,收单行A,TERM359409,1,manual
T000020240916,6222025659161352,钱霞杰,441853200504477000,19115216218,2024-08-02 15:00:00,678.38,CNY,M189771,星巴克,5311,消费,QR,中国,上海市,北京,DEV00000342,172.31.33.50,ECOM,,5.85,23,,否,,146670,招商银行,收单行B,TERM822171,0,unknown
T000020240941,6222026633778586,尤伟海,518889196101184690,17558648441,2024-08-03 07:00:00,2255.61,CNY,M472060,滴滴出行,4511,消费,ECOM,中国,四川省,上海,DEV00000346,197.167.234.168,MAG,3.0,,12,,否,,471872,农业银行,收单行B,TERM910540,0,unknown
T000020241780,6222029639245200,姜军海,568250198602026363,17639474783,2024-08-03 11:00:00,315.89,CNY,M992288,中国石油,5311,消费,QR,中国,四川省,郑州,DEV00000077,82.241.179.3,CONTACTLESS,,,25,,否,,373614,工商银行,银联,TERM719354,0,unknown
