card_no,总交易次数,总金额,欺诈次数,可疑次数,唯一商户,唯一地区,唯一设备,欺诈率,风险等级,平均间隔小时,最小间隔分钟,最大交易间隔,间隔变异系数,金额波动率
6222028737025391,15,13268.6,9,1,15,8,15,0.6,极高,187.28571428571428,1500.0,426.0,0.6902309449487755,1.247565666935173
6222027418301077,17,9021.4,9,0,15,9,17,0.5294117647058824,极高,182.6875,960.0,444.0,0.688504372758387,1.0738224182148017
6222029123612497,21,6001.43,8,0,18,10,21,0.38095238095238093,极高,129.95,360.0,441.0,0.8875404577823375,2.1432502116758823
6222023746317213,14,9940.72,7,0,13,6,14,0.5,极高,201.0,60.0,494.0,0.77928088499719,1.0478410653013837
6222027161404428,10,1951.01,7,0,9,7,10,0.7,极高,185.77777777777777,3720.0,378.0,0.4961197404655958,1.4642819809351653
6222028299146480,10,25561.73,7,1,10,6,10,0.7,极高,256.44444444444446,2640.0,803.0,0.9016933442007331,1.5565347003544547
6222021251837136,13,9424.56,7,1,10,7,13,0.5384615384615384,极高,224.08333333333334,1020.0,609.0,0.9067618555603808,1.7581059897034774
6222021311570307,10,3814.85,6,0,9,8,10,0.6,极高,309.22222222222223,1440.0,766.0,0.7420151881321032,1.5478886435409436
6222022785736751,11,13242.4,6,2,10,7,11,0.5454545454545454,极高,248.6,2220.0,1074.0,1.2033460903966693,1.2512671837152007
6222022320763135,17,11205.27,6,0,15,8,17,0.35294117647058826,极高,168.75,1740.0,496.0,0.8555649831130409,1.1238244798828934
6222028377088167,15,5076.43,6,0,13,9,15,0.4,极高,208.78571428571428,360.0,497.0,0.8178759850762787,1.0876384419346259
6222022094024844,13,7513.719999999999,6,0,12,8,12,0.46153846153846156,极高,220.75,3540.0,539.0,0.6356915767675362,2.967989353554866
6222025871743247,15,5941.96,6,0,13,9,15,0.4,极高,212.21428571428572,540.0,595.0,0.6679422700760863,1.2963668521580818
6222022227193073,12,7590.85,6,0,10,7,11,0.5,极高,240.0909090909091,120.0,672.0,0.8449023484401209,0.9480881120903042
6222029922723063,12,9008.11,5,0,10,8,12,0.4166666666666667,极高,260.27272727272725,780.0,879.0,1.0920652236087636,1.614787654690035
6222028429141456,13,13555.470000000001,5,0,12,8,13,0.38461538461538464,极高,208.5,360.0,384.0,0.5807859852876918,1.160832375291061
6222021855256552,11,6376.21,5,0,11,9,11,0.45454545454545453,极高,221.5,2100.0,1190.0,1.5715056905439038,1.3109240252001924
6222022067970820,11,3654.95,5,0,11,7,11,0.45454545454545453,极高,239.0,960.0,716.0,1.048623458073984,1.1303650966951118
6222026488854841,11,4293.4400000000005,5,0,8,7,11,0.45454545454545453,极高,269.1,4020.0,598.0,0.7058691163938612,1.7760393459419679
6222027099469983,10,6172.969999999999,5,0,10,7,9,0.5,极高,267.8888888888889,4080.0,650.0,0.7689131101017467,1.5012741017871618
6222027648059419,11,6547.54,5,1,11,8,11,0.45454545454545453,极高,299.9,1740.0,805.0,0.9399828913010301,1.3025463408554572
6222027803990970,7,8884.54,5,0,7,5,7,0.7142857142857143,极高,444.5,11760.0,881.0,0.5177731571842379,1.487806960433017
6222027665963761,15,3064.22,5,0,12,5,14,0.3333333333333333,极高,151.28571428571428,480.0,521.0,0.9645054921909199,1.768723204154477
6222022139027119,14,4005.16,5,0,12,8,14,0.35714285714285715,极高,204.92307692307693,180.0,409.0,0.6247213935927001,1.262750498884446
6222022188332531,13,3630.04,5,0,11,8,13,0.38461538461538464,极高,229.33333333333334,1380.0,574.0,0.7790820933990694,0.9974867833545821
6222026461974809,13,7663.6900000000005,5,1,13,9,13,0.38461538461538464,极高,192.25,1260.0,369.0,0.5308100304219205,1.618386266173937
6222026237376063,17,12927.84,5,0,16,8,17,0.29411764705882354,极高,165.125,540.0,523.0,0.9183338042545675,2.364687386933761
6222024482238042,16,5073.68,5,1,13,9,15,0.3125,极高,187.66666666666666,300.0,1070.0,1.402321793901488,0.9260618619610315
6222025759234471,15,7453.360000000001,5,0,14,7,15,0.3333333333333333,极高,207.57142857142858,420.0,654.0,0.9367030496440002,1.9864681487825833
6222024993808565,13,5324.89,5,0,11,6,13,0.38461538461538464,极高,190.83333333333334,300.0,755.0,1.1215060811848239,1.8403046889720662
6222025693307665,7,6584.4,5,0,6,6,7,0.7142857142857143,极高,411.1666666666667,7740.0,1167.0,0.9245877408386365,1.383649785801444
6222023615507143,9,2478.45,5,0,8,6,9,0.5555555555555556,极高,313.375,420.0,1310.0,1.3114749667004153,1.5565954023489668
6222024034047118,14,4232.55,5,0,13,6,14,0.35714285714285715,极高,223.69230769230768,480.0,848.0,1.0346588970910233,1.7083563019723593
6222024226113732,14,6670.03,5,0,14,9,14,0.35714285714285715,极高,223.46153846153845,60.0,1153.0,1.3482704042617737,2.3174702088746404
6222022960488639,16,5332.46,5,0,13,8,15,0.3125,极高,190.6,1740.0,940.0,1.1671271013067805,2.1964189711121787
6222022625792787,15,6656.28,5,0,13,6,15,0.3333333333333333,极高,172.78571428571428,60.0,635.0,1.0298755301573927,1.1083618275346276
6222022926780541,12,4786.81,5,0,11,9,12,0.4166666666666667,极高,257.90909090909093,120.0,1186.0,1.3797195992494844,1.2623932992741569
6222021519709079,12,14393.89,5,0,12,7,12,0.4166666666666667,极高,220.36363636363637,2340.0,498.0,0.6060921828852468,1.6854779206402495
