txn_id,card_no,cardholder_name,id_card,phone,txn_time,txn_amount,currency,merchant_id,merchant_name,mcc,txn_type,channel,country,province,city,device_id,ip,pos_entry_mode,installment,cashback,risk_score,rule_hit,manual_review,manual_result,auth_code,issuer_bank,acquirer_bank,terminal_id,fraud_label,label_source
T000020242957,6222023799264931,吕霞博,511155197604533375,18101484513,2024-07-01 02:00:00,290.04,CNY,M284692,屈臣氏,5812,转账,ECOM,中国,河南省,深圳,DEV00000230,207.189.236.180,CHIP,12.0,,18,,否,,944170,建设银行,收单行A,TERM629864,0,unknown
T000020242008,6222025759234471,尤军民,398351196611221716,13678934895,2024-07-02 02:00:00,296.07,CNY,M739979,滴滴出行,5812,预授权,MOBILE,中国,上海市,北京,DEV00000123,127.252.141.54,CONTACTLESS,,,16,,否,,162158,交通银行,银联,TERM701854,0,unknown
T000020243143,6222021594312071,周洋海,577602200204436802,19891839199,2024-07-02 18:00:00,164.06,CNY,M355709,美团外卖,5541,消费,APP,中国,江苏省,广州,DEV00000070,167.89.242.91,CONTACTLESS,24.0,,15,,否,,708364,工商银行,收单行A,TERM488781,0,unknown
T000020242312,6222026493800024,华鹏鹏,428059197401477418,19393806367,2024-07-02 20:00:00,887.89,CNY,M110644,微信支付,5999,消费,QR,中国,广东省,上海,DEV00000239,229.181.177.243,MANUAL,,,25,,否,,458952,浦发银行,银联,TERM706197,1,chargeback
T000020240804,6222024332894265,赵丽俊,498477197210111153,15897945277,2024-07-04 13:00:00,48.6,CNY,M110644,支付宝,5999,取现,POS,中国,上海市,青岛,DEV00000099,24.155.113.60,MANUAL,12.0,1.2,5,,否,,838247,中国银行,收单行A,TERM305611,0,unknown
T000020240740,6222024696689457,冯春林,535392200503206339,19797343144,2024-07-05 00:00:00,184.02,CNY,M110644,微信支付,5211,消费,QR,中国,四川省,武汉,DEV00000237,103.211.122.159,MAG,,,18,,否,,502460,建设银行,收单行C,TERM318353,1,chargeback
T000020243170,6222029904586976,金明浩,228847200311359703,19363279575,2024-07-05 20:00:00,162.39,CNY,M647091,肯德基,5541,消费,ECOM,中国,河南省,上海,DEV00000037,15.54.40.187,CHIP,,0.05,2,R002,否,,656952,交通银行,银联,TERM334702,2,rule
T000020241107,6222022566942273,沈华平,641085199906832055,13682785263,2024-07-06 12:00:00,619.66,CNY,M284692,沃尔玛,5812,预授权,MOBILE,中国,北京市,成都,DEV00000114,254.172.89.246,ECOM,,,28,R002,否,,355465,交通银行,收单行C,TERM253624,2,rule
T000020241750,6222023694860228,孔秀林,348468196006622744,17780750703,2024-07-06 13:00:00,230.6,CNY,M389688,支付宝,4111,消费,APP,中国,北京市,武汉,DEV00000251,79.255.123.61,CONTACTLESS,3.0,,14,,否,,786179,中信银行,收单行B,TERM553004,0,unknown
T000020241134,6222021519709079,严刚博,605575199703713058,13362458848,2024-07-06 15:00:00,229.96,CNY,M782054,微信支付,4111,消费,QR,中国,北京市,郑州,DEV00000291,111.155.195.238,CHIP,,,9,,否,,694095,工商银行,收单行A,TERM248305,1,chargeback
T000020241051,6222026805759868,朱燕健,289956199612196572,18942237230,2024-07-07 13:00:00,1763.02,CNY,M936587,沃尔玛,5691,消费,ECOM,中国,河南省,深圳,DEV00000120,195.218.118.224,ECOM,,45.42,6,,否,,669913,交通银行,银联,TERM130573,0,unknown
T000020240933,6222025419627962,陶洋超,508325196002336609,15432117242,2024-07-08 01:00:00,132.81,CNY,M835244,饿了么,4111,消费,QR,中国,河南省,成都,DEV00000312,200.61.100.92,MANUAL,,,16,,否,,112793,中国银行,收单行B,TERM481220,0,unknown
T000020243488,6222023030106617,杨涛辉,613123196204505704,13147984804,2024-07-08 10:00:00,41.63,CNY,M971084,海澜之家,5541,消费,POS,中国,上海市,成都,DEV00000187,157.211.124.52,CHIP,,,26,,否,,989913,中信银行,收单行C,TERM223558,1,chargeback
T000020240871,6222024776436931,郑桂健,319422199608237126,13582543215,2024-07-08 15:00:00,960.75,CNY,M572700,天猫超市,5211,消费,APP,中国,上海市,郑州,DEV00000130,151.209.150.155,ECOM,,8.64,19,,否,,438355,浦发银行,收单行B,TERM475122,1,chargeback
T000020240852,6222022812140441,赵静勇,464827200502754314,15615852872,2024-07-08 17:00:00,139.03,CNY,M290672,肯德基,5814,消费,QR,中国,上海市,成都,DEV00000158,85.245.79.63,CHIP,,3.78,0,,否,,122238,工商银行,收单行A,TERM671098,0,unknown
T000020242803,6222026687206971,蒋文龙,248687197103525254,17842911788,2024-07-09 12:00:00,96.45,CNY,M587282,星巴克,5541,消费,POS,中国,湖北省,南京,DEV00000333,248.130.111.223,MAG,,,25,,否,,172750,农业银行,收单行B,TERM534041,0,unknown
T000020241280,6222027292076361,蒋涛阳,455114197906353554,13324980984,2024-07-09 20:00:00,323.52,USD,M894993,拼多多,5311,预授权,APP,中国,上海市,成都,DEV00000032,179.244.49.125,ECOM,,,24,,否,,500721,工商银行,收单行A,TERM439660,1,chargeback
T000020242573,6222024518871744,卫燕林,644845198311945102,13590742059,2024-07-10 14:00:00,327.39,CNY,M855053,微信支付,5541,消费,APP,中国,福建省,郑州,DEV00000043,147.10.181.161,MANUAL,3.0,10.13,24,,否,,893780,浦发银行,银联,TERM456209,0,unknown
T000020241775,6222026288227800,沈英凯,276077198201966406,17312458912,2024-07-12 03:00:00,1061.07,CNY,M965845,肯德基,4511,消费,MOBILE,中国,江苏省,青岛,DEV00000311,38.142.156.173,ECOM,,,14,,否,,513741,中信银行,银联,TERM717803,0,unknown
T000020242113,6222023660223333,许敏泽,425508197401435489,17431930049,2024-07-12 06:00:00,33.78,CNY,M739979,肯德基,5211,消费,APP,中国,浙江省,北京,DEV00000321,151.151.75.204,CONTACTLESS,,0.98,5,,否,,977020,工商银行,收单行A,TERM195878,1,chargeback
T000020240681,6222022625792787,赵建民,291614199801184666,17753204271,2024-07-12 07:00:00,464.59,CNY,M664315,微信支付,4111,消费,ECOM,中国,福建省,广州,DEV00000217,230.192.178.118,CONTACTLESS,,,21,,否,,645928,浦发银行,收单行A,TERM107704,0,unknown
T000020240944,6222028377088167,冯建晨,150884196305305801,17763094664,2024-07-12 16:00:00,91.4,CNY,M556732,携程旅行,5311,消费,QR,中国,上海市,成都,DEV00000089,45.77.92.94,CHIP,3.0,0.93,4,,否,,523262,交通银行,收单行C,TERM752123,0,unknown
T000020241527,6222021817804383,王军海,301190197509182554,15712017106,2024-07-12 21:00:00,428.98,CNY,M389688,去哪儿,5691,取现,QR,中国,山东省,北京,DEV00000237,65.186.152.246,CHIP,,,22,,否,,360529,中信银行,银联,TERM624863,0,unknown
T000020241944,6222024460967357,蒋勇凯,420365197008156282,13339341052,2024-07-12 22:00:00,13.55,CNY,M886931,滴滴出行,5541,预授权,QR,中国,山东省,武汉,DEV00000356,236.89.45.9,CHIP,,,17,,否,,832019,浦发银行,银联,TERM443414,0,unknown
T000020241386,6222026009268066,陶飞兵,122514197407958434,13629120555,2024-07-12 23:00:00,137.57,CNY,M682789,拼多多,5691,取现,POS,中国,四川省,上海,DEV00000359,7.98.16.89,MANUAL,,,20,,否,,700969,招商银行,收单行A,TERM235863,0,unknown
T000020243407,6222029285415473,沈文鹏,463398198402858641,17619709551,2024-07-13 06:00:00,53.58,CNY,M641722,支付宝,5411,取现,POS,中国,四川省,青岛,DEV00000043,53.197.219.35,MAG,,,5,,否,,849224,中国银行,收单行B,TERM521682,0,unknown
T000020243461,6222021106456634,陶华博,501364198301745720,17885148779,2024-07-13 08:00:00,1343.68,CNY,M284692,星巴克,5814,消费,MOBILE,中国,上海市,杭州,DEV00000089,230.6.98.103,ECOM,,,7,,否,,596956,交通银行,收单行B,TERM976092,1,chargeback
T000020242292,6222026474354351,卫明龙,266904196710393520,17608633771,2024-07-13 23:00:00,135.48,CNY,M993085,星巴克,5812,消费,ECOM,中国,山东省,广州,DEV00000237,71.24.116.84,MAG,3.0,2.25,2,,否,,502200,招商银行,收单行A,TERM997415,0,unknown
T000020241342,6222023030106617,严娟东,356088198707416055,13201086941,2024-07-15 08:00:00,314.01,CNY,M437960,美团外卖,4111,消费,ECOM,中国,广东省,深圳,DEV00000149,69.86.151.195,ECOM,6.0,10.51,1,,否,,800609,工商银行,收单行B,TERM826796,0,unknown
